Кампус;Почта;Логин;ФИО;Статус;Телефон;;;group;langs;proficiency
Великий Новгород;andreiwww.comz@pandex.ru;photosha;Слесарева Ирина Станиславовна;student;79969409209;;;frontend;html css angular ts;62%
Великий Новгород;guc03z@mail.ru;phouchgb;Бондарик Владислав Анатольевич;student;79052907147;;;frontend;html css ts vue;25%
Великий Новгород;vivelacomunnaz@pandex.ru;picklina;Бутузова Анастасия Сергеевна;student;79952340503;;;mobile;kotlin flutter swift react-native;42%
Великий Новгород;prowsedavidz@pandex.ru;pipelemu;Корабельников Луиза Игоревна;student;79217366946;;;backend;python;13%
Великий Новгород;danil2savinz@pandex.ru;poetessg;Усов Мартин Валерьевич;student;79506852895;;;frontend;html css react;44%
Великий Новгород;danerporubovz@pmail.com;ponddenn;Овсянников Вячеслав Станиславович;student;79517225652;;;desktop;electron;44%
Великий Новгород;sawun2206z@mail.ru;porfirit;Розанова Светлана Александровна;student;79523931774;;;desktop;electron;95%
Великий Новгород;khaledyousryz@hotmail.com;pyatfred;Лукьянов Илья Игоревич;student;79216288843;;;frontend;html css ts;30%
Великий Новгород;stilfictiozz@pmail.com;quianakr;Болдырев Дмитрий Владимирович;student;79216162363;;;desktop;java electron python cpp;36%
Великий Новгород;met-79z@mail.ru;rafaelal;Альханов Илья Юрьевич;student;79523897675;;;mobile;kotlin react-native swift;5%
Великий Новгород;leonid.purkz@pandex.ru;raticatr;Лебедев Игорь Сергеевич;student;79211985289;;;mobile;kotlin;80%
Великий Новгород;www.delongez@mail.ru;rendailb;Пупкова Анна Артемьевна;student;79201502106;;;desktop;csharp cpp;74%
Великий Новгород;nikovodkovz@pa.ru;renektob;Панина Татьяна Николаевна;student;79219400250;;;frontend;html css;16%
Великий Новгород;d.volchuginz@pandex.ru;rethalan;Ширяев Григорий Артемович;student;79859651187;;;frontend;html css ts;61%
Великий Новгород;lobankova.ritusyaz@pmail.com;rhaegark;Баженов Филипп Олегович;student;79218783961;;;mobile;swift flutter kotlin;79%
Великий Новгород;annittez@pandex.ru;rhogorca;Долинский Ян Даниилович;student;79217566223;;;frontend;html css angular react;4%
Великий Новгород;savvo.vjacheslavz@pmail.com;rhydonpa;Трофимова Елизавета Алексеевна;student;79211220794;;;backend;php;98%
Великий Новгород;countzero13z@mail.ru;ritaosir;Ивкин Анатолий Игоревич;student;79627151357;;;mobile;react-native flutter swift kotlin;15%
Великий Новгород;piratserega1337z@pmail.com;rocksmew;Пугачева Олеся Романовна;student;79217890683;;;frontend;html css vue js;7%
Великий Новгород;korzhuk.xeniyaz@pandex.ru;rosarich;Березин Сергей Артемович;student;79062460701;;;backend;node;44%
Великий Новгород;solorastz@pmail.com;rossiean;Дольникова Анастасия Юрьевна;student;79632930667;;;backend;php ruby node;61%
Великий Новгород;v.shturtsevz@pandex.ru;rosstyla;Рудолфова Настя Леонидовна;student;79500169840;;;mobile;swift react-native flutter kotlin;46%
Великий Новгород;artemholmanskyz@pandex.ru;rudolfvo;Гончар София Алексеевна;student;79236614063;;;frontend;html css js vue;72%
Великий Новгород;potashov05z@pmail.com;sabrepig;Тихомиров Алексей Михайлович;student;79216332290;;;desktop;electron;96%
Великий Новгород;dimaz@iqseo.ru;sandevon;Алексеева Ксения Валерьевна;student;79217322020;;;mobile;kotlin;93%
Великий Новгород;alexandra.krutihinaz@pa.ru;sarirunc;Беднякова Нина Анатольевна;student;79209827751;;;desktop;cpp java electron python;38%
Великий Новгород;churs82z@pmail.com;sarnoris;Опалев Денис Артемьевич;student;79517280048;;;backend;python ruby node go;10%
Великий Новгород;aleno4ka1998z@mail.ru;satvajos;Романова Анастасия Николаевна;student;79216176263;;;mobile;swift kotlin;95%
Великий Новгород;shalimova.vitaz@pandex.ru;shanaebu;Султанов Борис Александрович;student;79102564079;;;mobile;kotlin;56%
Великий Новгород;detroid90z@mail.ru;shanaesy;Лугин Григорий Сергеевич;student;79045556287;;;desktop;electron python;79%
Великий Новгород;ai-studyz@mail.ru;sharikel;Степина Валерия Яновна;student;79219235704;;;backend;php;38%
Великий Новгород;frostmonsterz@pandex.ru;sharlabr;Мешков Алексей Анатольевич;student;79535621329;;;frontend;html css ts react;95%
Великий Новгород;vasi.anka2013z@pandex.ru;shatterc;Петровская Лариса Всеволодовна;student;79216404124;;;frontend;html css ts react;86%
Великий Новгород;martemyanov9898z@inbox.ru;sheilahr;Троицкая Ася Максимовна;student;79854495145;;;mobile;kotlin swift react-native flutter;85%
Великий Новгород;misharast37z@pmail.com;shelliha;Умнова Влада Ильинична;student;79052888229;;;desktop;java cpp python csharp;78%
Великий Новгород;poltergeist2703z@mail.ru;shemekaa;Кузьмичев Роман Артемьевич;student;79506866117;;;desktop;electron csharp;63%
Великий Новгород;matrosova.serafimaz@pandex.ru;shirlenm;Качалов Кирилл Александрович;student;79524823280;;;mobile;swift flutter;29%
Великий Новгород;realmemaster83z@pmail.com;shyvannc;Завгородняя Ольга Сергеевна;student;79270167785;;;frontend;html css;45%
Великий Новгород;ve1es8z@pandex.ru;sierraag;Кваша Алена Владиславовна;student;79218403025;;;backend;node go;37%
Великий Новгород;daoistturtlez@pandex.ru;sigfrydi;Гнездилов Всеволод Анатольевич;student;79174581781;;;backend;ruby python php;58%
Великий Новгород;n.davanskiyz@mail.ru;silenced;Худяков Валентин Алексеевич;student;79210627205;;;frontend;html css vue ts;80%
Великий Новгород;m3nh3r4chanz@pmail.com;slyviaad;Тарасова Александра Константиновна;student;79217383909;;;mobile;flutter kotlin react-native;79%
Великий Новгород;kostyaandreev610z@pmail.com;snowpeaa;Пешков Григорий Артемович;student;79992801012;;;desktop;cpp csharp java electron;60%
Великий Новгород;youtihonz@pmail.com;souriape;Симонова Наталия Сергеевна;student;79318514190;;;backend;python node;45%
Великий Новгород;dimus.litez@pmail.com;speedbaa;Слоткин Илья Несторович;student;79539055310;;;desktop;csharp electron cpp java;70%
Великий Новгород;zerlin.mailz@pmail.com;stalward;Белов Игорь Игоревич;student;79211347553;;;desktop;cpp electron python csharp;96%
Великий Новгород;26karatz@inbox.ru;starvinc;Лоскутова Ксения Анатольевна;student;79996692330;;;mobile;swift kotlin react-native;53%
Великий Новгород;mksmvnvz@icloud.com;structia;Астахов Андрей Николаевич;student;79992228805;;;backend;node go php python;16%
Великий Новгород;shvets_kiryaz@inbox.ru;stygiame;Домиров Василий Юрьевич;student;79650268464;;;mobile;flutter react-native swift;91%
Великий Новгород;yar310306dz@pmail.com;sunnyana;Прокопьев Антон Игоревич;student;79210058272;;;frontend;html css angular react;78%
Великий Новгород;dima-vrn00z@inbox.ru;susanaby;Путилов Сергей Дмитриевич;student;79521028830;;;backend;go php ruby python;51%
Великий Новгород;denisz@vodabudet.ru;susyherm;Глушков Светлана Михайловна;student;79212148932;;;frontend;html css js vue;4%
Великий Новгород;varlog9000z@pandex.ru;tabledor;Кушнир Валентин Андреевич;student;79626844700;;;frontend;html css js angular;77%
Великий Новгород;nemchuk1994z@pmail.com;takemiyd;Никифоров Сергей Романович;student;79042166058;;;desktop;python java cpp electron;45%
Великий Новгород;a.zhmuz@mail.ru;tallasau;Козыкин Илья Олегович;student;79052767595;;;backend;go;71%
Великий Новгород;nadezhda.yaakovlevaz@pandex.ru;tandraph;Артюхов Степан Юрьевич;student;79531612753;;;mobile;kotlin;32%
Великий Новгород;maksim.23115z@pmail.com;tariarry;Мясникова Татьяна Сергеевна;student;79216098276;;;frontend;html css;9%
Великий Новгород;marnueva58z@rambler.ru;tattooma;Македонов Феликс Анатольевич;student;79313554211;;;mobile;flutter kotlin swift;24%
Великий Новгород;pawellrz@pandex.ru;tawnyaar;Мельниченко Максим Григорьевич;student;79965698013;;;mobile;flutter swift;24%
Великий Новгород;g.murnikovz@mail.ru;temmomag;Писарев Кирилл Валерьевич;student;79213599949;;;frontend;html css js;97%
Великий Новгород;topbody66z@pmail.com;thorinob;Тихонина Анна Станиславовна;student;79118285741;;;frontend;html css ts vue;5%
Великий Новгород;sasha18443z@pmail.com;tigerjan;Науменко Татьяна Алексеевна;student;79106468665;;;frontend;html css ts vue;52%
Великий Новгород;qbinpostz@pmail.com;timberle;Костик Витя Григорьевич;student;79216169690;;;mobile;swift kotlin flutter;92%
Великий Новгород;urusovkirillz@me.com;tondatyl;Царева Лариса Артемьевна;student;79136202770;;;mobile;swift;7%
Великий Новгород;natali419915z@pandex.ru;torrentj;Ильяшев Олег Геннадьевич;student;79082932552;;;mobile;kotlin;75%
Великий Новгород;fedorsuhanov150z@pmail.com;tressann;Хромовская Нина Васильевна;student;79600052862;;;desktop;electron python cpp;98%
Великий Новгород;fogwostfoxz@pmail.com;udyrannm;Пономарева Ксения Валерьевна;student;79506849581;;;frontend;html css react;69%
Великий Новгород;i.emelyanovz@pmail.com;umfrerad;Лопатина Анна Николаевна;student;79216076851;;;backend;python;59%
Великий Новгород;katedeevaz@mail.ru;vegetaad;Балтан Анастасия Григорьевна;student;79123969427;;;mobile;react-native swift flutter kotlin;86%
Великий Новгород;nikita_kuzmin.92z@mail.ru;venonama;Кошкин Максим Андреевич;student;79965683699;;;backend;php ruby node python;48%
Великий Новгород;nordgaimerasz@pmail.com;volentii;Лаврова Медина Александровна;student;79502155099;;;backend;node ruby python;66%
Великий Новгород;sunikgoz@pandex.ru;vylarrja;Моськин Игорь Ильич;student;79062004238;;;frontend;html css vue ts;1%
Великий Новгород;alexey531993z@pmail.com;wallerla;Лобанова Зинаида Алексеевна;student;79992144060;;;mobile;flutter;91%
Великий Новгород;xcatcherxz@pmail.com;wartorle;Боброва Диана Николаевна;student;79095884362;;;desktop;csharp python;31%
Великий Новгород;levgroshev8z@pmail.com;wayfarec;Колесникова Карина Алферовна;student;79539041682;;;backend;php python ruby;71%
Великий Новгород;antonvot123z@pmail.com;wendanoa;Сухов Сергей Николаевич;student;79213984743;;;frontend;html css;73%
Великий Новгород;kuznetsov1998z@pmail.com;whatarml;Бабушкин Вадим Артемьевич;student;79117435405;;;desktop;cpp csharp;28%
Великий Новгород;drytimor-1z@pandex.ru;wilkygua;Барышников Александр Григорьевич;student;79190076870;;;backend;python ruby node go;74%
Великий Новгород;varyamatrosova02z@mail.ru;williabo;Громов Сергей Тихонович;student;79539002220;;;backend;go php ruby;32%
Великий Новгород;e.lontsz@pmail.com;windhema;Лебедева Маргарита Станиславовна;student;79312013367;;;mobile;flutter;40%
Великий Новгород;shprot90z@pandex.ru;winifrst;Митрофанов Владислав Игоревич;student;79045558703;;;backend;node go python;65%
Великий Новгород;ivannomgz@mail.ru;xhoankog;Симонова Алёна Юрьевна;student;79539066726;;;frontend;html css;75%
Великий Новгород;kolesnikov.dsz@bk.ru;yellowpr;Федотова Кристина Олеговна;student;79213717920;;;desktop;electron java csharp;13%
Великий Новгород;kuz.rychkovz@pmail.com;yucciemo;Кирана Анастасия Юрьевна;student;79313897030;;;frontend;html css js angular;94%
Великий Новгород;mr.nick.romanovz@pmail.com;yuccierh;Ведерникова Наталья Петровна;student;79963470094;;;frontend;html css;40%
Великий Новгород;mitrofandepariz@pmail.com;yulerexx;Логачева Вероника Степановна;student;79082928766;;;mobile;kotlin swift flutter react-native;76%
Великий Новгород;safokarimkaz@pmail.com;zackarym;Костяева Ольга Владимировна;student;79082919896;;;mobile;flutter kotlin react-native swift;76%
Великий Новгород;mvasilyev04z@pmail.com;zandrjay;Снегирев Иван Михайлович;student;79627172780;;;backend;go ruby;55%
Великий Новгород;sadkianuz@pmail.com;zombiesp;Емельянова Дарья Константиновна;student;79992492562;;;backend;node ruby php;12%
