Кампус;Почта;Логин;ФИО;Статус;Телефон;;;group;langs;proficiency;soft_skills
Великий Новгород;nik.losev.03z@inbox.ru;lysajaun;Дягилев Евгений Игоревич;student;79965694045;;;frontend;html css;44%;Самоорганизация, Самодисциплина, Эмпатия
Великий Новгород;mania_9408z@mail.ru;machampe;Сафонов Максим Гермогенович;student;79118921071;;;desktop;cpp csharp electron java;17%;Адаптивность, Креативность
Великий Новгород;footerka2z@pmail.com;madrasal;Макарова Вика Викторовна;student;79178155697;;;backend;php node python;83%;Самодисциплина, Эмоциональный интеллект
Великий Новгород;sakary.artistoz@pmail.com;maggieru;Тутунова Ирина Игизовна;student;79052641141;;;backend;python node;96%;Коммуникабельность, Эмпатия
Великий Новгород;chromiumz@mail.ru;mairakog;Мальцев Николай Валерьевич;student;79082261513;;;backend;php go python node;58%;Ответственность
Великий Новгород;sipailosashaz@pmail.com;manfredk;Остромова Даша Игоревна;student;79646913153;;;mobile;kotlin;24%;Настойчивость
Великий Новгород;revanes53z@pandex.ru;margarin;Никитина Лилия Алексеевна;student;79524812408;;;frontend;html css;14%;Самодисциплина, Адаптивность, Креативность
Великий Новгород;m.vasilyev.mvz@pmail.com;mariannb;Алёхина Екатерина Викторовна;student;79215731676;;;desktop;csharp electron python java;60%;Самодисциплина, Креативность
Великий Новгород;anastasiia.archz@pmail.com;mariholl;Гремячих Инна Игоревна;student;79500211558;;;frontend;html css vue;82%;Самодисциплина, Адаптивность, Ответственность
Великий Новгород;suslovvitz@pandex.ru;matarysf;Сонин Алексей Сергеевич;student;79210996865;;;mobile;react-native swift kotlin;97%;Активность, Эмпатия, Эмоциональный интеллект
Великий Новгород;kroll218z@mail.ru;matildat;Серафимова Эльвира Владимировна;student;79313664023;;;desktop;java csharp python;3%;Эмоциональный интеллект, Настойчивость, Креативность
Великий Новгород;zhamal701z@pmail.com;mayweatc;Бабушкина Анна Ивановна;student;79287118172;;;frontend;html css ts js;52%;Клиентоориентированность, Активность, Креативность, Самосовершенствование
Великий Новгород;nickwales381z@pmail.com;melonyhe;Слизкий Владимир Витальевич;student;79932049082;;;desktop;csharp electron cpp python;19%;Настойчивость
Великий Новгород;sv1999sedz@pmail.com;melvaalm;Сипягин Валерий Петрович;student;79965908257;;;mobile;swift react-native kotlin flutter;24%;Ответственность, Самодисциплина, Клиентоориентированность
Великий Новгород;gg.ru06z@mail.ru;meribalr;Тикторова Лариса Борисовна;student;79515491383;;;frontend;html css vue angular;24%;Самодисциплина, Креативность, Организованность
Великий Новгород;yalov_mdz@mail.ru;merrymaa;Гончаренко Виталий Вячеславович;student;79217420926;;;frontend;html css ts js;56%;Ответственность, Организованность
Великий Новгород;golemkarz@pmail.com;mildredt;Якушевская Вероника Степановна;student;79889282667;;;backend;go ruby;4%;Адаптивность, Эмпатия, Креативность
Великий Новгород;2018nikita2018z@pmail.com;milessup;Савельев Степан Анатольевич;student;79539035962;;;mobile;react-native swift flutter;84%;Настойчивость, Самосовершенствование, Клиентоориентированность
Великий Новгород;a.r.konnovz@pandex.ru;millyaly;Зубкова Ксения Петровна;student;79517221069;;;frontend;html css react;89%;Организованность, Клиентоориентированность, Самодисциплина, Эмоциональный интеллект
Великий Новгород;apbuzz@pandex.ru;minnaepi;Селихов Григорий Валерьевич;student;79232770517;;;desktop;csharp python java;59%;Эмоциональный интеллект, Самоорганизация, Самодисциплина
Великий Новгород;varvyanskiyz@pmail.com;mintaarc;Грачев Игорь Людвигович;student;79062029329;;;frontend;html css ts js;82%;Организованность, Активность, Клиентоориентированность, Ответственность
Великий Новгород;tiffanykokhz@pandex.ru;misfitla;Мартыненко Пётр Игоревич;student;79119662100;;;desktop;electron csharp python cpp;36%;Ответственность, Активность, Самодисциплина, Настойчивость
Великий Новгород;staratel.netz@mail.ru;mjollgra;Синяковская Светлана Станиславовна;student;79500064294;;;desktop;python csharp java electron;73%;Эмпатия, Самоорганизация
Великий Новгород;mortefyz@mail.ru;mollenla;Деканов Илья Александрович;student;79516777769;;;mobile;flutter;33%;Организованность
Великий Новгород;red1house1z@pmail.com;montoyay;Мостовой Анна Арсеньевна;student;79082956962;;;backend;php go python node;96%;Активность, Самоорганизация, Самодисциплина, Креативность
Великий Новгород;dokuchaev.dmitreyz@pmail.com;mortkang;Крупецкая Майнра Степановна;student;79969407717;;;desktop;python;24%;Адаптивность, Клиентоориентированность, Креативность
Великий Новгород;xakkaz@inbox.ru;moshedur;Ветрова Софья Петровна;student;79052186366;;;frontend;html css angular react;18%;Самодисциплина, Креативность
Великий Новгород;pedantic8.8programmerz@pmail.com;murchcal;Громычев Всеволод Юрьевич;student;79646912979;;;desktop;csharp cpp electron java;81%;Адаптивность, Эмоциональный интеллект, Креативность
Великий Новгород;diz.shulinusz@pandex.ru;mysarias;Логвинова Валентина Игоревна;student;79965694323;;;desktop;java;24%;Настойчивость, Самосовершенствование
Великий Новгород;mailwtf3z@pmail.com;napoleof;Ларин Пётр Аркадьевич;student;79312412357;;;mobile;flutter kotlin react-native;26%;Креативность
Великий Новгород;playnikovvz@vk.com;nataliam;Сагитов Досымбай Олегович;student;79062032837;;;backend;ruby go node php;55%;Самосовершенствование
Великий Новгород;alina040204z@pmail.com;nathanni;Шайтанов Григорий Юрьевич;student;79829165553;;;desktop;cpp java python csharp;47%;Креативность, Адаптивность
Великий Новгород;toma.tyurinaz@pmail.com;nettlesl;Стрелец Людмила Олеговна;student;79210354907;;;mobile;swift flutter react-native kotlin;28%;Самоорганизация, Клиентоориентированность, Коммуникабельность, Адаптивность
Великий Новгород;leraudovenchukz@icloud.com;newtvult;Гончарова Ирина Олеговна;student;79218235321;;;mobile;kotlin;90%;Самоорганизация, Организованность, Эмпатия
Великий Новгород;ai.andriichukz@mail.ru;noodlesa;Мадьяров Тихон Юрьевич;student;79009904901;;;mobile;swift;63%;Коммуникабельность, Ответственность
Великий Новгород;stasiktim18z@mail.ru;nuysarno;Ополовникова Ксения Станиславовна;student;79954104320;;;frontend;html css;3%;Самоорганизация, Самосовершенствование, Адаптивность, Настойчивость
Великий Новгород;daniel-rusz@mail.ru;nymosbre;Сычёв Александр Филиппович;student;79210235050;;;frontend;html css;37%;Коммуникабельность, Эмоциональный интеллект
Великий Новгород;timofey.malishev333z@mail.ru;oakhearv;Бельтюков Владислав Евгеньевич;student;79043300533;;;frontend;html css;1%;Коммуникабельность, Активность
Великий Новгород;antinanqoz@pmail.com;odismaur;Петрова Яна Ильинична;student;79217226974;;;desktop;cpp electron csharp;8%;Эмпатия
Великий Новгород;asyauniversez@pmail.com;oleviade;Хмелевский Артем Романович;student;79216478121;;;desktop;electron python java csharp;70%;Креативность
Великий Новгород;maestro777masterz@mail.ru;ondeflob;Романова Яна Станиславовна;student;79242633036;;;desktop;electron java;68%;Креативность, Коммуникабельность
Великий Новгород;truepsiniz@pmail.com;othortan;Бушуев Владислав Петрович;student;79969404678;;;frontend;html css;85%;Коммуникабельность, Самоорганизация, Клиентоориентированность, Эмоциональный интеллект
Великий Новгород;dm.petroselinumz@pmail.com;owynwend;Пономарев Игорь Сергеевич;student;79313977077;;;backend;php node ruby;64%;Креативность, Эмпатия, Самоорганизация
Великий Новгород;t.9664610z@pmail.com;patakibe;Щербинина Анастасия Федоровна;student;79219664610;;;backend;node ruby go;99%;Самоорганизация, Активность, Эмпатия, Креативность
Великий Новгород;dolgovarturz@pandex.ru;paulrayn;Андрианов Григорий Сергеевич;student;79004975077;;;desktop;cpp python electron csharp;65%;Самосовершенствование, Самодисциплина, Эмпатия
Великий Новгород;lemosca404z@pmail.com;pearlinm;Доронина Анна Григорьевна;student;79897584626;;;frontend;html css;61%;Самоорганизация, Активность, Самодисциплина, Самосовершенствование
Великий Новгород;gymn-1razumovaz@pandex.ru;pennytrg;Соболев Олег Андреевич;student;79517286505;;;desktop;electron;43%;Самодисциплина, Самосовершенствование, Настойчивость
Великий Новгород;russkaya2011z@pmail.com;petuniad;Сысоев Нина Анатольевна;student;79217791983;;;mobile;react-native;17%;Организованность, Самоорганизация, Настойчивость, Коммуникабельность
Великий Новгород;ent1k1337z@pandex.ru;petyrdar;Глухих Ксения Романовна;student;79216197590;;;frontend;html css react;54%;Самоорганизация
Великий Новгород;andreiwww.comz@pandex.ru;photosha;Слесарева Ирина Станиславовна;student;79969409209;;;frontend;html css angular ts;62%;Организованность
Великий Новгород;guc03z@mail.ru;phouchgb;Бондарик Владислав Анатольевич;student;79052907147;;;frontend;html css ts vue;25%;Клиентоориентированность, Самосовершенствование
Великий Новгород;vivelacomunnaz@pandex.ru;picklina;Бутузова Анастасия Сергеевна;student;79952340503;;;mobile;kotlin flutter swift react-native;42%;Ответственность, Эмпатия, Клиентоориентированность, Самодисциплина
Великий Новгород;prowsedavidz@pandex.ru;pipelemu;Корабельников Луиза Игоревна;student;79217366946;;;backend;python;13%;Организованность, Клиентоориентированность
Великий Новгород;danil2savinz@pandex.ru;poetessg;Усов Мартин Валерьевич;student;79506852895;;;frontend;html css react;44%;Эмоциональный интеллект, Организованность
Великий Новгород;danerporubovz@pmail.com;ponddenn;Овсянников Вячеслав Станиславович;student;79517225652;;;desktop;electron;44%;Ответственность, Креативность, Настойчивость
Великий Новгород;sawun2206z@mail.ru;porfirit;Розанова Светлана Александровна;student;79523931774;;;desktop;electron;95%;Активность
Великий Новгород;khaledyousryz@hotmail.com;pyatfred;Лукьянов Илья Игоревич;student;79216288843;;;frontend;html css ts;30%;Ответственность, Самодисциплина
Великий Новгород;stilfictiozz@pmail.com;quianakr;Болдырев Дмитрий Владимирович;student;79216162363;;;desktop;java electron python cpp;36%;Клиентоориентированность
Великий Новгород;met-79z@mail.ru;rafaelal;Альханов Илья Юрьевич;student;79523897675;;;mobile;kotlin react-native swift;5%;Эмпатия, Самоорганизация, Эмоциональный интеллект
Великий Новгород;leonid.purkz@pandex.ru;raticatr;Лебедев Игорь Сергеевич;student;79211985289;;;mobile;kotlin;80%;Активность, Коммуникабельность
Великий Новгород;www.delongez@mail.ru;rendailb;Пупкова Анна Артемьевна;student;79201502106;;;desktop;csharp cpp;74%;Самоорганизация, Адаптивность, Ответственность, Самосовершенствование
Великий Новгород;nikovodkovz@pa.ru;renektob;Панина Татьяна Николаевна;student;79219400250;;;frontend;html css;16%;Самосовершенствование, Настойчивость, Эмоциональный интеллект, Клиентоориентированность
Великий Новгород;d.volchuginz@pandex.ru;rethalan;Ширяев Григорий Артемович;student;79859651187;;;frontend;html css ts;61%;Эмпатия, Эмоциональный интеллект, Коммуникабельность
Великий Новгород;lobankova.ritusyaz@pmail.com;rhaegark;Баженов Филипп Олегович;student;79218783961;;;mobile;swift flutter kotlin;79%;Эмоциональный интеллект, Активность, Настойчивость, Адаптивность
Великий Новгород;annittez@pandex.ru;rhogorca;Долинский Ян Даниилович;student;79217566223;;;frontend;html css angular react;4%;Коммуникабельность, Самоорганизация, Ответственность, Организованность
Великий Новгород;savvo.vjacheslavz@pmail.com;rhydonpa;Трофимова Елизавета Алексеевна;student;79211220794;;;backend;php;98%;Настойчивость, Ответственность, Организованность
Великий Новгород;countzero13z@mail.ru;ritaosir;Ивкин Анатолий Игоревич;student;79627151357;;;mobile;react-native flutter swift kotlin;15%;Организованность
Великий Новгород;piratserega1337z@pmail.com;rocksmew;Пугачева Олеся Романовна;student;79217890683;;;frontend;html css vue js;7%;Настойчивость
Великий Новгород;korzhuk.xeniyaz@pandex.ru;rosarich;Березин Сергей Артемович;student;79062460701;;;backend;node;44%;Эмоциональный интеллект
Великий Новгород;solorastz@pmail.com;rossiean;Дольникова Анастасия Юрьевна;student;79632930667;;;backend;php ruby node;61%;Самодисциплина, Активность
Великий Новгород;v.shturtsevz@pandex.ru;rosstyla;Рудолфова Настя Леонидовна;student;79500169840;;;mobile;swift react-native flutter kotlin;46%;Коммуникабельность, Самосовершенствование, Эмпатия, Самоорганизация
Великий Новгород;artemholmanskyz@pandex.ru;rudolfvo;Гончар София Алексеевна;student;79236614063;;;frontend;html css js vue;72%;Организованность
Великий Новгород;potashov05z@pmail.com;sabrepig;Тихомиров Алексей Михайлович;student;79216332290;;;desktop;electron;96%;Эмоциональный интеллект, Адаптивность
Великий Новгород;dimaz@iqseo.ru;sandevon;Алексеева Ксения Валерьевна;student;79217322020;;;mobile;kotlin;93%;Ответственность, Самосовершенствование, Самоорганизация, Эмпатия
Великий Новгород;alexandra.krutihinaz@pa.ru;sarirunc;Беднякова Нина Анатольевна;student;79209827751;;;desktop;cpp java electron python;38%;Ответственность
Великий Новгород;churs82z@pmail.com;sarnoris;Опалев Денис Артемьевич;student;79517280048;;;backend;python ruby node go;10%;Эмпатия, Организованность, Самоорганизация
Великий Новгород;aleno4ka1998z@mail.ru;satvajos;Романова Анастасия Николаевна;student;79216176263;;;mobile;swift kotlin;95%;Коммуникабельность
Великий Новгород;shalimova.vitaz@pandex.ru;shanaebu;Султанов Борис Александрович;student;79102564079;;;mobile;kotlin;56%;Самоорганизация, Коммуникабельность, Активность
Великий Новгород;detroid90z@mail.ru;shanaesy;Лугин Григорий Сергеевич;student;79045556287;;;desktop;electron python;79%;Настойчивость, Эмпатия, Самосовершенствование, Эмоциональный интеллект
Великий Новгород;ai-studyz@mail.ru;sharikel;Степина Валерия Яновна;student;79219235704;;;backend;php;38%;Креативность, Адаптивность, Ответственность, Активность
Великий Новгород;frostmonsterz@pandex.ru;sharlabr;Мешков Алексей Анатольевич;student;79535621329;;;frontend;html css ts react;95%;Настойчивость, Клиентоориентированность, Самоорганизация, Адаптивность
Великий Новгород;vasi.anka2013z@pandex.ru;shatterc;Петровская Лариса Всеволодовна;student;79216404124;;;frontend;html css ts react;86%;Активность, Клиентоориентированность, Самодисциплина, Самоорганизация
Великий Новгород;martemyanov9898z@inbox.ru;sheilahr;Троицкая Ася Максимовна;student;79854495145;;;mobile;kotlin swift react-native flutter;85%;Настойчивость, Организованность
Великий Новгород;misharast37z@pmail.com;shelliha;Умнова Влада Ильинична;student;79052888229;;;desktop;java cpp python csharp;78%;Самодисциплина, Самоорганизация, Креативность
Великий Новгород;poltergeist2703z@mail.ru;shemekaa;Кузьмичев Роман Артемьевич;student;79506866117;;;desktop;electron csharp;63%;Самодисциплина, Адаптивность, Организованность
Великий Новгород;matrosova.serafimaz@pandex.ru;shirlenm;Качалов Кирилл Александрович;student;79524823280;;;mobile;swift flutter;29%;Клиентоориентированность, Самосовершенствование, Адаптивность
Великий Новгород;realmemaster83z@pmail.com;shyvannc;Завгородняя Ольга Сергеевна;student;79270167785;;;frontend;html css;45%;Ответственность
Великий Новгород;ve1es8z@pandex.ru;sierraag;Кваша Алена Владиславовна;student;79218403025;;;backend;node go;37%;Адаптивность
Великий Новгород;daoistturtlez@pandex.ru;sigfrydi;Гнездилов Всеволод Анатольевич;student;79174581781;;;backend;ruby python php;58%;Креативность, Самодисциплина
Великий Новгород;n.davanskiyz@mail.ru;silenced;Худяков Валентин Алексеевич;student;79210627205;;;frontend;html css vue ts;80%;Настойчивость
Великий Новгород;m3nh3r4chanz@pmail.com;slyviaad;Тарасова Александра Константиновна;student;79217383909;;;mobile;flutter kotlin react-native;79%;Организованность, Самоорганизация
Великий Новгород;kostyaandreev610z@pmail.com;snowpeaa;Пешков Григорий Артемович;student;79992801012;;;desktop;cpp csharp java electron;60%;Настойчивость, Эмоциональный интеллект, Самодисциплина, Адаптивность
Великий Новгород;youtihonz@pmail.com;souriape;Симонова Наталия Сергеевна;student;79318514190;;;backend;python node;45%;Самодисциплина, Коммуникабельность, Самосовершенствование
Великий Новгород;dimus.litez@pmail.com;speedbaa;Слоткин Илья Несторович;student;79539055310;;;desktop;csharp electron cpp java;70%;Эмпатия, Креативность, Настойчивость
Великий Новгород;zerlin.mailz@pmail.com;stalward;Белов Игорь Игоревич;student;79211347553;;;desktop;cpp electron python csharp;96%;Коммуникабельность, Организованность, Ответственность, Клиентоориентированность
Великий Новгород;26karatz@inbox.ru;starvinc;Лоскутова Ксения Анатольевна;student;79996692330;;;mobile;swift kotlin react-native;53%;Адаптивность, Настойчивость
Великий Новгород;mksmvnvz@icloud.com;structia;Астахов Андрей Николаевич;student;79992228805;;;backend;node go php python;16%;Эмоциональный интеллект, Самосовершенствование, Настойчивость
Великий Новгород;shvets_kiryaz@inbox.ru;stygiame;Домиров Василий Юрьевич;student;79650268464;;;mobile;flutter react-native swift;91%;Адаптивность, Настойчивость, Эмоциональный интеллект, Активность
Великий Новгород;yar310306dz@pmail.com;sunnyana;Прокопьев Антон Игоревич;student;79210058272;;;frontend;html css angular react;78%;Эмоциональный интеллект, Адаптивность, Эмпатия
Великий Новгород;dima-vrn00z@inbox.ru;susanaby;Путилов Сергей Дмитриевич;student;79521028830;;;backend;go php ruby python;51%;Активность
Великий Новгород;denisz@vodabudet.ru;susyherm;Глушков Светлана Михайловна;student;79212148932;;;frontend;html css js vue;4%;Самодисциплина
Великий Новгород;varlog9000z@pandex.ru;tabledor;Кушнир Валентин Андреевич;student;79626844700;;;frontend;html css js angular;77%;Самосовершенствование, Ответственность, Креативность, Самоорганизация
Великий Новгород;nemchuk1994z@pmail.com;takemiyd;Никифоров Сергей Романович;student;79042166058;;;desktop;python java cpp electron;45%;Ответственность, Эмоциональный интеллект, Эмпатия, Организованность
Великий Новгород;a.zhmuz@mail.ru;tallasau;Козыкин Илья Олегович;student;79052767595;;;backend;go;71%;Ответственность, Адаптивность
Великий Новгород;nadezhda.yaakovlevaz@pandex.ru;tandraph;Артюхов Степан Юрьевич;student;79531612753;;;mobile;kotlin;32%;Креативность
Великий Новгород;maksim.23115z@pmail.com;tariarry;Мясникова Татьяна Сергеевна;student;79216098276;;;frontend;html css;9%;Самоорганизация
Великий Новгород;marnueva58z@rambler.ru;tattooma;Македонов Феликс Анатольевич;student;79313554211;;;mobile;flutter kotlin swift;24%;Коммуникабельность, Эмпатия, Организованность
Великий Новгород;pawellrz@pandex.ru;tawnyaar;Мельниченко Максим Григорьевич;student;79965698013;;;mobile;flutter swift;24%;Ответственность, Самосовершенствование
Великий Новгород;g.murnikovz@mail.ru;temmomag;Писарев Кирилл Валерьевич;student;79213599949;;;frontend;html css js;97%;Самодисциплина, Ответственность, Коммуникабельность, Адаптивность
Великий Новгород;topbody66z@pmail.com;thorinob;Тихонина Анна Станиславовна;student;79118285741;;;frontend;html css ts vue;5%;Коммуникабельность, Организованность, Эмоциональный интеллект, Самоорганизация
Великий Новгород;sasha18443z@pmail.com;tigerjan;Науменко Татьяна Алексеевна;student;79106468665;;;frontend;html css ts vue;52%;Коммуникабельность, Клиентоориентированность, Ответственность
Великий Новгород;qbinpostz@pmail.com;timberle;Костик Витя Григорьевич;student;79216169690;;;mobile;swift kotlin flutter;92%;Клиентоориентированность
Великий Новгород;urusovkirillz@me.com;tondatyl;Царева Лариса Артемьевна;student;79136202770;;;mobile;swift;7%;Эмоциональный интеллект, Самосовершенствование
Великий Новгород;natali419915z@pandex.ru;torrentj;Ильяшев Олег Геннадьевич;student;79082932552;;;mobile;kotlin;75%;Ответственность
Великий Новгород;fedorsuhanov150z@pmail.com;tressann;Хромовская Нина Васильевна;student;79600052862;;;desktop;electron python cpp;98%;Эмоциональный интеллект, Организованность
Великий Новгород;fogwostfoxz@pmail.com;udyrannm;Пономарева Ксения Валерьевна;student;79506849581;;;frontend;html css react;69%;Эмоциональный интеллект, Ответственность
Великий Новгород;i.emelyanovz@pmail.com;umfrerad;Лопатина Анна Николаевна;student;79216076851;;;backend;python;59%;Самосовершенствование, Клиентоориентированность, Эмпатия
Великий Новгород;katedeevaz@mail.ru;vegetaad;Балтан Анастасия Григорьевна;student;79123969427;;;mobile;react-native swift flutter kotlin;86%;Адаптивность, Креативность, Коммуникабельность
Великий Новгород;nikita_kuzmin.92z@mail.ru;venonama;Кошкин Максим Андреевич;student;79965683699;;;backend;php ruby node python;48%;Адаптивность, Эмоциональный интеллект, Самосовершенствование, Клиентоориентированность
Великий Новгород;nordgaimerasz@pmail.com;volentii;Лаврова Медина Александровна;student;79502155099;;;backend;node ruby python;66%;Самодисциплина, Ответственность, Активность, Коммуникабельность
Великий Новгород;sunikgoz@pandex.ru;vylarrja;Моськин Игорь Ильич;student;79062004238;;;frontend;html css vue ts;1%;Эмпатия, Креативность, Настойчивость
Великий Новгород;alexey531993z@pmail.com;wallerla;Лобанова Зинаида Алексеевна;student;79992144060;;;mobile;flutter;91%;Креативность
Великий Новгород;xcatcherxz@pmail.com;wartorle;Боброва Диана Николаевна;student;79095884362;;;desktop;csharp python;31%;Коммуникабельность, Креативность, Самодисциплина
Великий Новгород;levgroshev8z@pmail.com;wayfarec;Колесникова Карина Алферовна;student;79539041682;;;backend;php python ruby;71%;Эмоциональный интеллект, Активность
Великий Новгород;antonvot123z@pmail.com;wendanoa;Сухов Сергей Николаевич;student;79213984743;;;frontend;html css;73%;Ответственность
Великий Новгород;kuznetsov1998z@pmail.com;whatarml;Бабушкин Вадим Артемьевич;student;79117435405;;;desktop;cpp csharp;28%;Самосовершенствование, Самодисциплина, Настойчивость, Организованность
Великий Новгород;drytimor-1z@pandex.ru;wilkygua;Барышников Александр Григорьевич;student;79190076870;;;backend;python ruby node go;74%;Самосовершенствование, Самоорганизация
Великий Новгород;varyamatrosova02z@mail.ru;williabo;Громов Сергей Тихонович;student;79539002220;;;backend;go php ruby;32%;Креативность, Коммуникабельность
Великий Новгород;e.lontsz@pmail.com;windhema;Лебедева Маргарита Станиславовна;student;79312013367;;;mobile;flutter;40%;Самодисциплина, Эмоциональный интеллект, Самоорганизация, Ответственность
Великий Новгород;shprot90z@pandex.ru;winifrst;Митрофанов Владислав Игоревич;student;79045558703;;;backend;node go python;65%;Эмоциональный интеллект, Креативность, Самосовершенствование, Ответственность
Великий Новгород;ivannomgz@mail.ru;xhoankog;Симонова Алёна Юрьевна;student;79539066726;;;frontend;html css;75%;Адаптивность, Настойчивость, Ответственность, Самодисциплина
Великий Новгород;kolesnikov.dsz@bk.ru;yellowpr;Федотова Кристина Олеговна;student;79213717920;;;desktop;electron java csharp;13%;Адаптивность
Великий Новгород;kuz.rychkovz@pmail.com;yucciemo;Кирана Анастасия Юрьевна;student;79313897030;;;frontend;html css js angular;94%;Самосовершенствование, Эмоциональный интеллект, Ответственность
Великий Новгород;mr.nick.romanovz@pmail.com;yuccierh;Ведерникова Наталья Петровна;student;79963470094;;;frontend;html css;40%;Адаптивность, Активность
Великий Новгород;mitrofandepariz@pmail.com;yulerexx;Логачева Вероника Степановна;student;79082928766;;;mobile;kotlin swift flutter react-native;76%;Адаптивность, Клиентоориентированность, Активность, Самодисциплина
Великий Новгород;safokarimkaz@pmail.com;zackarym;Костяева Ольга Владимировна;student;79082919896;;;mobile;flutter kotlin react-native swift;76%;Самоорганизация, Активность, Коммуникабельность
Великий Новгород;mvasilyev04z@pmail.com;zandrjay;Снегирев Иван Михайлович;student;79627172780;;;backend;go ruby;55%;Коммуникабельность, Креативность, Организованность, Самоорганизация
Великий Новгород;sadkianuz@pmail.com;zombiesp;Емельянова Дарья Константиновна;student;79992492562;;;backend;node ruby php;12%;Самосовершенствование, Организованность, Ответственность, Самодисциплина
